TIMESTAMP,NEXT_CLASS,GUID,INSTRUCTOR,SPOTS_REMAINING
2022-04-06 00:16:59,2022-04-06 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,6
2022-04-06 09:55:54,2022-04-06 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,5
2022-04-06 11:21:31,2022-04-06 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,6
2022-04-06 11:21:36,2022-04-06 17:45:00,9fe1cf2b9bd94d5db616ed53459cca8e,Laura,16
2022-04-06 13:18:20,2022-04-06 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,7
2022-04-06 14:15:59,2022-04-06 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,8
2022-04-06 14:38:36,2022-04-06 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,7
2022-04-06 15:17:42,2022-04-06 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,5
2022-04-06 15:17:44,2022-04-06 17:45:00,9fe1cf2b9bd94d5db616ed53459cca8e,Laura,15
2022-04-06 15:41:01,2022-04-06 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,4
2022-04-06 16:17:50,2022-04-06 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,6
2022-04-06 16:39:41,2022-04-06 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,5
2022-04-06 18:19:22,2022-04-06 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,4
2022-04-06 18:19:23,2022-04-07 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,15
2022-04-06 19:43:46,2022-04-07 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,10
2022-04-06 19:43:49,2022-04-07 19:15:00,07c0e269b1824adf90e259b7cc9b6859,Aly,19
2022-04-06 20:51:12,2022-04-07 19:15:00,07c0e269b1824adf90e259b7cc9b6859,Aly,18
2022-04-06 21:22:19,2022-04-07 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,9
2022-04-06 22:16:25,2022-04-07 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,8
2022-04-06 22:37:28,2022-04-07 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,9
2022-04-06 22:37:30,2022-04-07 19:15:00,07c0e269b1824adf90e259b7cc9b6859,Aly,17
2022-04-06 23:21:32,2022-04-07 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,8
2022-04-06 23:21:34,2022-04-07 19:15:00,07c0e269b1824adf90e259b7cc9b6859,Aly,16
2022-04-06 23:46:50,2022-04-07 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,7
2022-04-07 08:47:47,2022-04-07 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,6
2022-04-07 09:24:52,2022-04-07 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,5
2022-04-07 09:24:57,2022-04-07 19:15:00,07c0e269b1824adf90e259b7cc9b6859,Aly,15
2022-04-07 09:55:28,2022-04-07 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,4
2022-04-07 11:20:53,2022-04-07 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,3
2022-04-07 11:20:55,2022-04-07 19:15:00,07c0e269b1824adf90e259b7cc9b6859,Aly,14
2022-04-07 13:18:50,2022-04-07 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,2
2022-04-07 14:15:31,2022-04-07 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,0
2022-04-07 14:15:33,2022-04-07 19:15:00,07c0e269b1824adf90e259b7cc9b6859,Aly,13
2022-04-07 15:39:46,2022-04-07 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,1
2022-04-07 16:17:36,2022-04-07 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,3
2022-04-07 16:39:26,2022-04-07 17:45:00,bdd150c8804a4849b8cf9c8e0c28f785,Julie,4
2022-04-07 18:29:38,2022-04-07 19:15:00,07c0e269b1824adf90e259b7cc9b6859,Aly,11
2022-04-11 11:47:04,2022-04-12 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,20
2022-04-11 12:12:48,2022-04-12 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,19
2022-04-11 13:40:49,2022-04-12 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,17
2022-04-11 15:15:23,2022-04-12 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,16
2022-04-11 18:21:14,2022-04-12 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,15
2022-04-11 18:21:16,2022-04-12 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,17
2022-04-11 19:50:48,2022-04-12 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,10
2022-04-11 20:33:58,2022-04-12 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,15
2022-04-11 20:34:03,2022-04-12 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,9
2022-04-11 21:22:06,2022-04-12 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,13
2022-04-11 21:22:13,2022-04-12 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,8
2022-04-11 21:48:19,2022-04-12 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,12
2022-04-11 22:16:07,2022-04-12 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,14
2022-04-11 22:37:37,2022-04-12 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,5
2022-04-11 23:22:03,2022-04-12 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,15
2022-04-11 23:22:08,2022-04-12 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,3
2022-04-11 23:46:25,2022-04-12 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,1
2022-04-12 00:17:32,2022-04-12 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,14
2022-04-12 03:42:35,2022-04-12 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,11
2022-04-12 06:47:10,2022-04-13 07:00:00,851a0a2125ef4b15b1fddd8b3b6720bf,Sarah,20
2022-04-12 07:22:00,2022-04-12 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,13
2022-04-12 07:22:09,2022-04-12 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,0
2022-04-12 08:22:26,2022-04-12 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,13
2022-04-12 09:29:39,2022-04-13 07:00:00,851a0a2125ef4b15b1fddd8b3b6720bf,Sarah,19
2022-04-12 09:56:39,2022-04-12 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,1
2022-04-12 10:23:53,2022-04-12 12:00:00,d3ab9dedb9d444f2af5c6848d5cd5bd3,Julie,11
2022-04-12 10:23:58,2022-04-12 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,12
2022-04-12 10:23:59,2022-04-12 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,2
2022-04-12 10:24:04,2022-04-13 07:00:00,851a0a2125ef4b15b1fddd8b3b6720bf,Sarah,18
2022-04-12 10:44:12,2022-04-13 07:00:00,851a0a2125ef4b15b1fddd8b3b6720bf,Sarah,17
2022-04-12 11:21:15,2022-04-12 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,11
2022-04-12 11:21:18,2022-04-12 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,1
2022-04-12 11:45:36,2022-04-12 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,0
2022-04-12 12:14:33,2022-04-12 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,10
2022-04-12 12:36:31,2022-04-12 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,9
2022-04-12 12:36:39,2022-04-13 07:00:00,851a0a2125ef4b15b1fddd8b3b6720bf,Sarah,16
2022-04-12 13:18:42,2022-04-12 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,8
2022-04-12 13:18:47,2022-04-13 07:00:00,851a0a2125ef4b15b1fddd8b3b6720bf,Sarah,14
2022-04-12 14:41:15,2022-04-12 17:45:00,3a9eec849bf149a7a4e4dcc6029dccc2,Alicia,9
2022-04-12 18:25:44,2022-04-12 19:30:00,7219cf17a8c240e6a0f55a91f1a2961f,Bryant,2
2022-04-12 18:25:48,2022-04-13 07:00:00,851a0a2125ef4b15b1fddd8b3b6720bf,Sarah,13
2022-04-12 18:25:51,2022-04-13 17:45:00,9fe1cf2b9bd94d5db616ed53459cca8e,Laura,17
2022-04-12 19:54:23,2022-04-13 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,18
2022-04-12 19:54:26,2022-04-13 17:45:00,9fe1cf2b9bd94d5db616ed53459cca8e,Laura,16
2022-04-12 21:24:11,2022-04-13 19:15:00,7ca73904c3d9495bac3a94aa15f8c6df,Britany,17
